"county.name","median.hhinc"
"Clear Creek, CO",74534
"Conejos, CO",42813
"Costilla, CO",36196
"Crowley, CO",43091
"Custer, CO",53794
"Delta, CO",50301
"Denver, CO",67291
"Dolores, CO",47132
"Douglas, CO",118373
"Eagle, CO",94772
"Elbert, CO",93935
"El Paso, CO",71590
"Fremont, CO",52141
"Garfield, CO",76050
"Gilpin, CO",66238
"Grand, CO",64702
"Gunnison, CO",60417
"Hinsdale, CO",84029
"Huerfano, CO",45924
"Jackson, CO",49001
"Jefferson, CO",82712
"Kiowa, CO",53452
"Kit Carson, CO",50731
"Lake, CO",46231
"La Plata, CO",71276
"Larimer, CO",71845
"Las Animas, CO",49594
"Lincoln, CO",51877
"Logan, CO",52266
"Mesa, CO",65058
"Mineral, CO",101184
"Moffat, CO",58512
"Montezuma, CO",56770
"Montrose, CO",56363
"Morgan, CO",52905
"Otero, CO",43666
"Ouray, CO",69831
"Park, CO",71470
"Phillips, CO",51788
"Pitkin, CO",127611
"Prowers, CO",44795
"Pueblo, CO",53467
"Rio Blanco, CO",65302
"Rio Grande, CO",51293
"Routt, CO",79772
"Saguache, CO",48278
"San Juan, CO",52036
"San Miguel, CO",90633
"Sedgwick, CO",49458
"Summit, CO",85266
"Teller, CO",71198
"Washington, CO",49194
"Weld, CO",67806
"Yuma, CO",52215
"Fairfield, CT",130520
"Hartford, CT",82369
"Litchfield, CT",88482
"Middlesex, CT",92375
"New Haven, CT",79503
"New London, CT",81856
"Tolland, CT",88676
"Windham, CT",66409
"Kent, DE",62967
"New Castle, DE",81327
"Sussex, DE",65007
"District of Columbia",90580
"Alachua, FL",58679
"Baker, FL",55086
"Bay, FL",59243
"Bradford, FL",50955
"Brevard, FL",64454
"Broward, FL",71771
"Calhoun, FL",42130
"Charlotte, FL",59517
"Citrus, FL",51161
"Clay, FL",72515
"Collier, FL",92321
"Columbia, FL",49479
"DeSoto, FL",49121
"Dixie, FL",41262
"Duval, FL",63937
"Escambia, FL",57378
"Flagler, FL",59937
"Franklin, FL",53943
"Gadsden, FL",46788
"Gilchrist, FL",52643
"Glades, FL",52049
"Gulf, FL",51960
"Hamilton, FL",48336
"Hardee, FL",47998
"Hendry, FL",47832
"Hernando, FL",54245
"Highlands, FL",44149
"Hillsborough, FL",68169
"Holmes, FL",40890
"Indian River, FL",73411
"Jackson, FL",46660
"Jefferson, FL",54176
"Lafayette, FL",52815
"Lake, FL",59255
"Lee, FL",70979
"Leon, FL",61054
"Levy, FL",46475
"Liberty, FL",50629
"Madison, FL",46076
"Manatee, FL",65746
"Marion, FL",53113
"Martin, FL",82782
"Miami-Dade, FL",63299
"Monroe, FL",81935
"Nassau, FL",72428
"Okaloosa, FL",69108
"Okeechobee, FL",52350
"Orange, FL",67693
"Osceola, FL",58027
"Palm Beach, FL",80537
"Pasco, FL",57382
"Pinellas, FL",63210
"Polk, FL",56720
"Putnam, FL",44962
"St. Johns, FL",90804
"St. Lucie, FL",59822
"Santa Rosa, FL",67325
"Sarasota, FL",70887
"Seminole, FL",76651
"Sumter, FL",52368
"Suwannee, FL",45825
"Taylor, FL",46578
"Union, FL",48539
"Volusia, FL",57691
"Wakulla, FL",59188
"Walton, FL",65675
"Washington, FL",45903
"Appling, GA",44815
"Atkinson, GA",43949
"Bacon, GA",43652
"Baker, GA",42050
"Baldwin, GA",48986
"Banks, GA",51256
"Barrow, GA",58145
"Bartow, GA",62521
"Ben Hill, GA",39525
"Berrien, GA",42824
"Bibb, GA",54385
"Bleckley, GA",50029
"Brantley, GA",49967
"Brooks, GA",52816
"Bryan, GA",75930
"Bulloch, GA",47863
"Burke, GA",42762
"Butts, GA",57598
"Calhoun, GA",38411
"Camden, GA",57088
"Candler, GA",45932
"Carroll, GA",55730
"Catoosa, GA",56463
"Charlton, GA",48265
"Chatham, GA",62131
"Chattahoochee, GA",51967
"Chattooga, GA",39452
"Cherokee, GA",82688
"Clarke, GA",50704
"Clay, GA",37477
"Clayton, GA",53719
"Clinch, GA",40425
"Cobb, GA",87089
"Coffee, GA",45660
"Colquitt, GA",46292
"Columbia, GA",80463
"Cook, GA",41189
"Coweta, GA",71725
"Crawford, GA",48385
"Crisp, GA",42840
"Dade, GA",50609
"Dawson, GA",65669
"Decatur, GA",44962
"DeKalb, GA",71354
"Dodge, GA",40938
"Dooly, GA",39713
"Dougherty, GA",50744
"Douglas, GA",67867
"Early, GA",41433
"Echols, GA",40395
"Effingham, GA",63602
"Elbert, GA",43453
"Emanuel, GA",40477
"Evans, GA",45520
"Fannin, GA",47451
"Fayette, GA",98220
"Floyd, GA",54695
"Forsyth, GA",103558
"Franklin, GA",48000
"Fulton, GA",93418
"Gilmer, GA",46472
"Glascock, GA",41709
"Glynn, GA",66849
"Gordon, GA",48323
"Grady, GA",48293
"Greene, GA",60203
"Gwinnett, GA",79764
"Habersham, GA",54144
"Hall, GA",67887
"Hancock, GA",35308
"Haralson, GA",49966
"Harris, GA",77209
"Hart, GA",51789
"Heard, GA",45552
"Henry, GA",75121
"Houston, GA",65359
"Irwin, GA",48759
"Jackson, GA",58737
"Jasper, GA",53984
"Jeff Davis, GA",40336
"Jefferson, GA",38483
"Jenkins, GA",43772
"Johnson, GA",44169
"Jones, GA",57586
"Lamar, GA",46358
"Lanier, GA",44971
"Laurens, GA",51373
"Lee, GA",70990
"Liberty, GA",48176
"Lincoln, GA",43657
"Long, GA",42509
"Lowndes, GA",52982
"Lumpkin, GA",52021
"McDuffie, GA",46476
"McIntosh, GA",49959
"Macon, GA",39385
"Madison, GA",48831
"Marion, GA",42110
"Meriwether, GA",45829
"Miller, GA",49399
"Mitchell, GA",44193
"Monroe, GA",68789
"Montgomery, GA",46309
"Morgan, GA",66432
"Murray, GA",47740
"Muscogee, GA",54518
"Newton, GA",62023
"Oconee, GA",87988
"Oglethorpe, GA",51946
"Paulding, GA",65113
"Peach, GA",53803
"Pickens, GA",66387
"Pierce, GA",46472
"Pike, GA",58267
"Polk, GA",49736
"Pulaski, GA",41505
"Putnam, GA",60110
"Quitman, GA",38764
"Rabun, GA",54103
"Randolph, GA",44459
"Richmond, GA",50050
"Rockdale, GA",66932
"Schley, GA",45128
"Screven, GA",45485
"Seminole, GA",47882
"Spalding, GA",52510
"Stephens, GA",45372
"Stewart, GA",35365
"Sumter, GA",45252
"Talbot, GA",41628
"Taliaferro, GA",31726
"Tattnall, GA",47213
"Taylor, GA",39053
"Telfair, GA",34265
"Terrell, GA",41132
"Thomas, GA",54732
"Tift, GA",48909
"Toombs, GA",44784
"Towns, GA",53138
"Treutlen, GA",39506
"Troup, GA",50684
"Turner, GA",41959
"Twiggs, GA",44485
"Union, GA",53534
"Upson, GA",43564
"Walker, GA",49324
"Walton, GA",63298
"Ware, GA",44448
"Warren, GA",39470
"Washington, GA",43005
"Wayne, GA",51380
"Webster, GA",36407
"Wheeler, GA",39259
"White, GA",54876
"Whitfield, GA",56377
"Wilcox, GA",39351
"Wilkes, GA",41898
"Wilkinson, GA",46006
"Worth, GA",49179
"Hawaii, HI",70467
"Honolulu, HI",83341
"Kalawao, HI",58672
"Kauai, HI",76049
"Maui, HI",81185
"Ada, ID",71190
"Adams, ID",54296
"Bannock, ID",55687
"Bear Lake, ID",50489
"Benewah, ID",44833
"Bingham, ID",55940
"Blaine, ID",76484
"Boise, ID",56689
"Bonner, ID",57469
"Bonneville, ID",64060
"Boundary, ID",44479
"Butte, ID",47146
"Camas, ID",57378
"Canyon, ID",52255
"Caribou, ID",53150
"Cassia, ID",49069
"Clark, ID",40789
"Clearwater, ID",50604
"Custer, ID",50360
"Elmore, ID",53415
"Franklin, ID",55029
"Fremont, ID",53064
"Gem, ID",50810
"Gooding, ID",46863
"Idaho, ID",44168
"Jefferson, ID",58298
"Jerome, ID",49304
"Kootenai, ID",59238
"Latah, ID",48604
"Lemhi, ID",47745
"Lewis, ID",42586
"Lincoln, ID",51884
"Madison, ID",48752
"Minidoka, ID",47906
"Nez Perce, ID",54770
"Oneida, ID",48057
"Owyhee, ID",46614
"Payette, ID",55413
"Power, ID",49522
"Shoshone, ID",41901
"Teton, ID",60663
"Twin Falls, ID",51346
"Valley, ID",62365
"Washington, ID",48378
"Adams, IL",57073
"Alexander, IL",37219
"Bond, IL",57662
"Boone, IL",73040
"Brown, IL",51513
"Bureau, IL",56882
"Calhoun, IL",51554
"Carroll, IL",56798
"Cass, IL",50460
"Champaign, IL",58827
"Christian, IL",50877
"Clark, IL",55492
"Clay, IL",45587
"Clinton, IL",64884
"Coles, IL",49302
"Cook, IL",75891
"Crawford, IL",52937
"Cumberland, IL",51746
"DeKalb, IL",65174
"De Witt, IL",58818
"Douglas, IL",55186
"DuPage, IL",101154
"Edgar, IL",49191
"Edwards, IL",49007
"Effingham, IL",58723
"Fayette, IL",50809
"Ford, IL",55439
"Franklin, IL",42901
"Fulton, IL",50100
"Gallatin, IL",48321
"Greene, IL",52057
"Grundy, IL",73113
"Hamilton, IL",48350
"Hancock, IL",54224
"Hardin, IL",42385
"Henderson, IL",47456
"Henry, IL",60349
"Iroquois, IL",57508
"Jackson, IL",43165
"Jasper, IL",50417
"Jefferson, IL",52627
"Jersey, IL",60597
"Jo Daviess, IL",62442
"Johnson, IL",50735
"Kane, IL",85699
"Kankakee, IL",60326
"Kendall, IL",88586
"Knox, IL",49433
"Lake, IL",110190
"LaSalle, IL",60665
"Lawrence, IL",48023
"Lee, IL",61757
"Livingston, IL",58247
"Logan, IL",57379
"McDonough, IL",45447
"McHenry, IL",90247
"McLean, IL",69797
"Macon, IL",58813
"Macoupin, IL",55767
"Madison, IL",63476
"Marion, IL",48067
"Marshall, IL",57235
"Mason, IL",55193
"Massac, IL",46310
"Menard, IL",65441
"Mercer, IL",60753
"Monroe, IL",76565
"Montgomery, IL",53781
"Morgan, IL",57553
"Moultrie, IL",60719
"Ogle, IL",62868
"Peoria, IL",65479
"Perry, IL",46291
"Piatt, IL",66033
"Pike, IL",49989
"Pope, IL",45175
"Pulaski, IL",41370
"Putnam, IL",62048
"Randolph, IL",51965
"Richland, IL",51847
"Rock Island, IL",58009
"St. Clair, IL",60450
"Saline, IL",46729
"Sangamon, IL",65346
"Schuyler, IL",49500
"Scott, IL",63422
"Shelby, IL",52839
"Stark, IL",62761
"Stephenson, IL",54520
"Tazewell, IL",65971
"Union, IL",49099
"Vermilion, IL",49085
"Wabash, IL",55701
"Warren, IL",48351
"Washington, IL",58637
"Wayne, IL",47718
"White, IL",50331
"Whiteside, IL",55614
"Will, IL",87429
"Williamson, IL",50402
"Winnebago, IL",60237
"Woodford, IL",77056
"Adams, IN",52399
"Allen, IN",60495
"Bartholomew, IN",68396
"Benton, IN",52398
"Blackford, IN",50394
"Boone, IN",97188
"Brown, IN",62104
"Carroll, IN",57528
"Cass, IN",52573
"Clark, IN",55904
"Clay, IN",51557
"Clinton, IN",56975
"Crawford, IN",43992
"Daviess, IN",51167
"Dearborn, IN",66077
"Decatur, IN",56312
"DeKalb, IN",56113
"Delaware, IN",49185
"Dubois, IN",64309
"Elkhart, IN",61076
"Fayette, IN",46868
"Floyd, IN",64030
"Fountain, IN",51032
"Franklin, IN",60837
"Fulton, IN",51589
"Gibson, IN",55440
"Grant, IN",49534
"Greene, IN",49741
"Hamilton, IN",105676
"Hancock, IN",73780
"Harrison, IN",61414
"Hendricks, IN",77024
"Henry, IN",50259
"Howard, IN",57837
"Huntington, IN",54286
"Jackson, IN",53236
"Jasper, IN",62044
"Jay, IN",47407
"Jefferson, IN",51728
"Jennings, IN",48138
"Johnson, IN",72340
"Knox, IN",49647
"Kosciusko, IN",60452
"LaGrange, IN",57134
"Lake, IN",59532
"LaPorte, IN",59191
"Lawrence, IN",50926
"Madison, IN",53356
"Marion, IN",59118
"Marshall, IN",59526
"Martin, IN",53562
"Miami, IN",48473
"Monroe, IN",54280
"Montgomery, IN",57638
"Morgan, IN",63876
"Newton, IN",59707
"Noble, IN",54012
"Ohio, IN",62020
"Orange, IN",46476
"Owen, IN",51164
"Parke, IN",48533
"Perry, IN",50031
"Pike, IN",48038
"Porter, IN",72143
"Posey, IN",66804
"Pulaski, IN",54981
"Putnam, IN",58956
"Randolph, IN",48731
"Ripley, IN",57408
"Rush, IN",53206
"St. Joseph, IN",58958
"Scott, IN",46857
"Shelby, IN",66850
